GSS_CD,GSS_NM,date,cumulative_cases,incidence,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R)
E06000042,Milton Keynes,2020-03-07,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000021,Newcastle upon Tyne,2020-03-07,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000025,Newham,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000020,Norfolk,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000012,North East Lincolnshire,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000013,North Lincolnshire,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000024,North Somerset,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000022,North Tyneside,2020-03-07,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000023,North Yorkshire,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000021,Northamptonshire,2020-03-07,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000057,Northumberland,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000018,Nottingham,2020-03-07,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000024,Nottinghamshire,2020-03-07,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000004,Oldham,2020-03-07,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000025,Oxfordshire,2020-03-07,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000031,Peterborough,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000026,Plymouth,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000044,Portsmouth,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000038,Reading,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000026,Redbridge,2020-03-07,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000003,Redcar and Cleveland,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000027,Richmond upon Thames,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000005,Rochdale,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000018,Rotherham,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000017,Rutland,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000006,Salford,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000028,Sandwell,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000014,Sefton,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000019,Sheffield,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000051,Shropshire,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000039,Slough,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000029,Solihull,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000027,Somerset,2020-03-07,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000025,South Gloucestershire,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000023,South Tyneside,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000045,Southampton,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000033,Southend-on-Sea,2020-03-07,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000028,Southwark,2020-03-07,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000013,St. Helens,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000028,Staffordshire,2020-03-07,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000007,Stockport,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000004,Stockton-on-Tees,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000021,Stoke-on-Trent,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000029,Suffolk,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000024,Sunderland,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000030,Surrey,2020-03-07,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000029,Sutton,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000030,Swindon,2020-03-07,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000008,Tameside,2020-03-07,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000020,Telford and Wrekin,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000034,Thurrock,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000027,Torbay,2020-03-07,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000030,Tower Hamlets,2020-03-07,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000009,Trafford,2020-03-07,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000036,Wakefield,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000030,Walsall,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000031,Waltham Forest,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000032,Wandsworth,2020-03-07,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000007,Warrington,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000031,Warwickshire,2020-03-07,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000037,West Berkshire,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000032,West Sussex,2020-03-07,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000033,Westminster,2020-03-07,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000010,Wigan,2020-03-07,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000054,Wiltshire,2020-03-07,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000040,Windsor and Maidenhead,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000015,Wirral,2020-03-07,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000041,Wokingham,2020-03-07,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000031,Wolverhampton,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000034,Worcestershire,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000014,York,2020-03-07,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000002,Barking and Dagenham,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000003,Barnet,2020-03-08,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000016,Barnsley,2020-03-08,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000022,Bath and North East Somerset,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000055,Bedford,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000004,Bexley,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000025,Birmingham,2020-03-08,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000008,Blackburn with Darwen,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000009,Blackpool,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000001,Bolton,2020-03-08,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000058,Bournemouth,2020-03-08,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000036,Bracknell Forest,2020-03-08,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000032,Bradford,2020-03-08,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000005,Brent,2020-03-08,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000043,Brighton and Hove,2020-03-08,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000023,"Bristol, City of",2020-03-08,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000006,Bromley,2020-03-08,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000002,Buckinghamshire,2020-03-08,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000002,Bury,2020-03-08,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000033,Calderdale,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000003,Cambridgeshire,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000007,Camden,2020-03-08,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000056,Central Bedfordshire,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000049,Cheshire East,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000050,Cheshire West and Chester,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000052,Cornwall and Isles of Scilly,2020-03-08,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000047,County Durham,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000026,Coventry,2020-03-08,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000008,Croydon,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000006,Cumbria,2020-03-08,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000005,Darlington,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000015,Derby,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000007,Derbyshire,2020-03-08,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000008,Devon,2020-03-08,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000017,Doncaster,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000059,Dorset,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000027,Dudley,2020-03-08,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000009,Ealing,2020-03-08,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000011,East Riding of Yorkshire,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000011,East Sussex,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000010,Enfield,2020-03-08,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000012,Essex,2020-03-08,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000037,Gateshead,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000013,Gloucestershire,2020-03-08,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000011,Greenwich,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000012,Hackney and City of London,2020-03-08,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000006,Halton,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000013,Hammersmith and Fulham,2020-03-08,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000014,Hampshire,2020-03-08,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000014,Haringey,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000015,Harrow,2020-03-08,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000001,Hartlepool,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000016,Havering,2020-03-08,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000019,"Herefordshire, County of",2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000015,Hertfordshire,2020-03-08,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000017,Hillingdon,2020-03-08,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000018,Hounslow,2020-03-08,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000046,Isle of Wight,2020-03-08,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000019,Islington,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000020,Kensington and Chelsea,2020-03-08,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000016,Kent,2020-03-08,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000010,"Kingston upon Hull, City of",2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000021,Kingston upon Thames,2020-03-08,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000034,Kirklees,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000011,Knowsley,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000022,Lambeth,2020-03-08,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000017,Lancashire,2020-03-08,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000035,Leeds,2020-03-08,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000016,Leicester,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000018,Leicestershire,2020-03-08,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000023,Lewisham,2020-03-08,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000019,Lincolnshire,2020-03-08,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000012,Liverpool,2020-03-08,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000032,Luton,2020-03-08,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000003,Manchester,2020-03-08,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000035,Medway,2020-03-08,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000024,Merton,2020-03-08,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000002,Middlesbrough,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000042,Milton Keynes,2020-03-08,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000021,Newcastle upon Tyne,2020-03-08,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000025,Newham,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000020,Norfolk,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000012,North East Lincolnshire,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000013,North Lincolnshire,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000024,North Somerset,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000022,North Tyneside,2020-03-08,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000023,North Yorkshire,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000021,Northamptonshire,2020-03-08,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000057,Northumberland,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000018,Nottingham,2020-03-08,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000024,Nottinghamshire,2020-03-08,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000004,Oldham,2020-03-08,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000025,Oxfordshire,2020-03-08,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000031,Peterborough,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000026,Plymouth,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000044,Portsmouth,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000038,Reading,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000026,Redbridge,2020-03-08,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000003,Redcar and Cleveland,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000027,Richmond upon Thames,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000005,Rochdale,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000018,Rotherham,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000017,Rutland,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000006,Salford,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000028,Sandwell,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000014,Sefton,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000019,Sheffield,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000051,Shropshire,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000039,Slough,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000029,Solihull,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000027,Somerset,2020-03-08,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000025,South Gloucestershire,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000023,South Tyneside,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000045,Southampton,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000033,Southend-on-Sea,2020-03-08,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000028,Southwark,2020-03-08,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000013,St. Helens,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000028,Staffordshire,2020-03-08,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000007,Stockport,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000004,Stockton-on-Tees,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000021,Stoke-on-Trent,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000029,Suffolk,2020-03-08,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000024,Sunderland,2020-03-08,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000030,Surrey,2020-03-08,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000029,Sutton,2020-03-08,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000030,Swindon,2020-03-08,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000008,Tameside,2020-03-08,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000020,Telford and Wrekin,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
